source,reliability,bias
The Sean Hannity Show,16.65,23.44
The Situation Room,41.56,-12.11
The Skimm,43.18,-7.13
The Story with Martha MacCullum,37.44,12.22
The Stranger,36.49,-18.39
The Stream,25.04,21.64
The Trace,45.75,-6.64
The Trey Gowdy Podcast,43.11,6.44
The Verge,44.19,-5.43
The View,31.44,-10.22
The Village Voice,43.02,-7.91
The Weather Channel,48.99,-0.74
The Week,34.19,-11.46
The Wrap,41.36,-1.74
The Young Turks,25.19,-27.27
TheGrio,39.42,-11.4
This American Life,42.89,-9.22
Time Magazine,43.68,-8.53
TMZ,36.62,-10.94
Townhall,23.99,20.73
Trib Live,47.83,-1.29
True Pundit,37.42,8.05
Truthout,29.92,-20.17
Tucker Carlson Tonight,22.37,23.0
Turning Point USA,20.34,17.28
Twitchy,17.48,21.75
TYT: The Conversation,32.67,-24.31
Unlocking Us with Brene Brown,30.44,-21.8
Up First,48.78,-7.83
UPI,47.53,-1.21
Upworthy,39.98,-3.94
US News and World Report,45.71,-3.64
USA Today,45.75,-3.7
Vanity Fair,36.54,-13.98
Variety,41.74,-6.62
Vice,41.42,-11.25
Vogue,40.16,-11.98
Voice of America,47.1,-3.69
Vox,40.93,-10.83
Wall Street Journal,45.98,4.98
Washington Blade,42.71,-7.49
Washington Examiner,34.03,14.79
Washington Free Beacon,38.2,13.33
Washington Monthly,29.69,-16.65
Washington Post,43.82,-7.79
Washington Times,31.86,14.89
Washington’s Top News,46.71,-0.12
Washingtonian,43.73,-2.75
Watters’ World,29.33,19.0
Watts Up With That?,25.52,13.76
Western Journal,29.33,20.18
What A Day,35.67,-17.92
WIRED,44.35,-5.26
WND,22.33,20.57
Wonkette,17.28,-26.75
WorldTruth.TV,8.52,25.64
X22 Report,6.89,34.22
Your World with Neil Cavuto,37.89,14.33
ZeroHedge,25.6,14.82
